COD CURSO;CURSO;DURACION;CLIENTE;IMPORTE CLIENTE;PROFESOR;IMPORTE PROFESOR;FECHA CURSO;JORNADA CURSO;COMERCIAL;IMPORTE COMERCIAL;PAGADO CLIENTE;PAIS;CIUDAD;PAGADO COMERCIAL
COD-044;DISEÑO;25;CLIENTE-004; 1.500,00 € ;PROFESOR-004; 300,00 € ;12/11/2020;NOCHE;COMERCIAL-002; 180,00 € ;SI;ESPAÑA;VALENCIA;SI
COD-045;DISEÑO;15;CLIENTE-007; 900,00 € ;PROFESOR-005; 180,00 € ;30/06/2019;NOCHE;COMERCIAL-004; 108,00 € ;SI;ESPAÑA;VALENCIA;SI
COD-046;DISEÑO;10;CLIENTE-007; 600,00 € ;PROFESOR-002; 120,00 € ;12/06/2019;TARDE;COMERCIAL-001; 72,00 € ;SI;ESPAÑA;VALENCIA;SI
COD-047;ACCESS;12;CLIENTE-006; 480,00 € ;PROFESOR-001; 144,00 € ;25/11/2020;NOCHE;COMERCIAL-002; 48,00 € ;SI;FRANCIA;PARIS;SI
COD-048;ACCESS;15;CLIENTE-005; 600,00 € ;PROFESOR-004; 180,00 € ;08/01/2019;NOCHE;COMERCIAL-004; 60,00 € ;SI;FRANCIA;PARIS;SI
COD-049;ACCESS;25;CLIENTE-008; 1.000,00 € ;PROFESOR-003; 300,00 € ;01/07/2019;NOCHE;COMERCIAL-001; 100,00 € ;SI;ESPAÑA;VALLADOLID;NO
COD-050;ACCESS;15;CLIENTE-001; 600,00 € ;PROFESOR-002; 180,00 € ;11/01/2021;TARDE;COMERCIAL-003; 60,00 € ;SI;ESPAÑA;VALLADOLID;NO
COD-051;EXCEL;20;CLIENTE-002; 600,00 € ;PROFESOR-001; 240,00 € ;01/09/2021;TARDE;COMERCIAL-003; 48,00 € ;SI;ITALIA;MILAN;NO
COD-052;EXCEL;20;CLIENTE-004; 600,00 € ;PROFESOR-004; 240,00 € ;02/10/2019;TARDE;COMERCIAL-002; 48,00 € ;SI;ESPAÑA;VALLADOLID;SI
COD-053;EXCEL;30;CLIENTE-003; 900,00 € ;PROFESOR-005; 360,00 € ;10/02/2019;TARDE;COMERCIAL-004; 72,00 € ;SI;ITALIA;MILAN;SI
COD-054;WORD;35;CLIENTE-005; 875,00 € ;PROFESOR-002; 420,00 € ;19/09/2019;NOCHE;COMERCIAL-001; 61,25 € ;NO;FRANCIA;PARIS;NO
COD-055;WORD;40;CLIENTE-003; 1.000,00 € ;PROFESOR-001; 480,00 € ;02/01/2019;NOCHE;COMERCIAL-002; 70,00 € ;NO;ITALIA;MILAN;SI
COD-056;WORD;40;CLIENTE-004; 1.000,00 € ;PROFESOR-004; 480,00 € ;22/12/2019;NOCHE;COMERCIAL-004; 70,00 € ;NO;ESPAÑA;VALLADOLID;SI
COD-057;INTERNET;35;CLIENTE-003; 875,00 € ;PROFESOR-005; 420,00 € ;18/12/2019;NOCHE;COMERCIAL-001; 43,75 € ;NO;ITALIA;ROMA;NO
COD-058;PROGRAMACION;45;CLIENTE-006; 3.375,00 € ;PROFESOR-002; 540,00 € ;04/03/2021;NOCHE;COMERCIAL-003; 506,25 € ;NO;FRANCIA;MARSELLA;SI
COD-059;DISEÑO;25;CLIENTE-004; 1.500,00 € ;PROFESOR-001; 300,00 € ;30/12/2019;TARDE;COMERCIAL-002; 180,00 € ;NO;ESPAÑA;VALLADOLID;SI
COD-060;DISEÑO;20;CLIENTE-007; 1.200,00 € ;PROFESOR-004; 240,00 € ;09/11/2020;MAÑANA;COMERCIAL-004; 144,00 € ;SI;ESPAÑA;VALLADOLID;SI
COD-061;DISEÑO;10;CLIENTE-005; 600,00 € ;PROFESOR-003; 120,00 € ;01/10/2019;TARDE;COMERCIAL-003; 72,00 € ;NO;FRANCIA;MARSELLA;SI
COD-062;ACCESS;12;CLIENTE-006; 480,00 € ;PROFESOR-002; 144,00 € ;18/03/2021;MAÑANA;COMERCIAL-002; 48,00 € ;NO;FRANCIA;MARSELLA;SI
COD-063;ACCESS;15;CLIENTE-008; 600,00 € ;PROFESOR-001; 180,00 € ;23/03/2019;MAÑANA;COMERCIAL-004; 60,00 € ;SI;ESPAÑA;VALLADOLID;SI
COD-064;ACCESS;20;CLIENTE-003; 800,00 € ;PROFESOR-001; 240,00 € ;03/04/2021;MAÑANA;COMERCIAL-001; 80,00 € ;NO;ITALIA;MILAN;SI
COD-065;ACCESS;25;CLIENTE-005; 1.000,00 € ;PROFESOR-004; 300,00 € ;10/04/2019;MAÑANA;COMERCIAL-003; 100,00 € ;SI;FRANCIA;MARSELLA;SI
COD-066;EXCEL;30;CLIENTE-006; 900,00 € ;PROFESOR-005; 360,00 € ;11/03/2020;TARDE;COMERCIAL-002; 72,00 € ;SI;FRANCIA;MARSELLA;SI
COD-067;EXCEL;40;CLIENTE-004; 1.200,00 € ;PROFESOR-002; 480,00 € ;11/10/2019;TARDE;COMERCIAL-004; 96,00 € ;SI;ESPAÑA;VALLADOLID;SI
COD-068;EXCEL;35;CLIENTE-007; 1.050,00 € ;PROFESOR-001; 420,00 € ;22/12/2020;TARDE;COMERCIAL-001; 84,00 € ;SI;ESPAÑA;VALLADOLID;SI
COD-069;WORD;45;CLIENTE-007; 1.125,00 € ;PROFESOR-004; 540,00 € ;15/09/2019;TARDE;COMERCIAL-002; 78,75 € ;SI;ESPAÑA;VALLADOLID;SI
COD-070;WORD;18;CLIENTE-006; 450,00 € ;PROFESOR-003; 216,00 € ;02/10/2021;NOCHE;COMERCIAL-004; 31,50 € ;SI;FRANCIA;MARSELLA;SI
COD-071;WORD;10;CLIENTE-005; 250,00 € ;PROFESOR-002; 120,00 € ;28/05/2021;NOCHE;COMERCIAL-001; 17,50 € ;SI;FRANCIA;MARSELLA;SI
COD-072;WORD;45;CLIENTE-008; 1.125,00 € ;PROFESOR-001; 540,00 € ;18/08/2021;NOCHE;COMERCIAL-003; 78,75 € ;SI;ESPAÑA;VALLADOLID;SI
COD-073;EXCEL;25;CLIENTE-008; 750,00 € ;PROFESOR-004; 300,00 € ;30/05/2019;TARDE;COMERCIAL-002; 60,00 € ;SI;ESPAÑA;VALLADOLID;SI
COD-074;ACCESS;20;CLIENTE-007; 800,00 € ;PROFESOR-005; 240,00 € ;21/05/2019;TARDE;COMERCIAL-004; 80,00 € ;SI;ESPAÑA;VALLADOLID;SI
COD-075;WORD;10;CLIENTE-005; 250,00 € ;PROFESOR-002; 120,00 € ;28/01/2019;TARDE;COMERCIAL-003; 17,50 € ;SI;FRANCIA;MARSELLA;SI
COD-076;WORD;12;CLIENTE-003; 300,00 € ;PROFESOR-001; 144,00 € ;10/10/2020;TARDE;COMERCIAL-002; 21,00 € ;SI;ITALIA;MILAN;SI
COD-077;WORD;15;CLIENTE-005; 375,00 € ;PROFESOR-004; 180,00 € ;12/10/2021;NOCHE;COMERCIAL-004; 26,25 € ;SI;FRANCIA;MARSELLA;SI
COD-078;EXCEL;20;CLIENTE-004; 600,00 € ;PROFESOR-005; 240,00 € ;31/08/2020;MAÑANA;COMERCIAL-001; 48,00 € ;NO;ESPAÑA;VALLADOLID;SI
COD-079;EXCEL;25;CLIENTE-003; 750,00 € ;PROFESOR-002; 300,00 € ;31/01/2021;MAÑANA;COMERCIAL-002; 60,00 € ;NO;ITALIA;MILAN;SI
COD-080;EXCEL;30;CLIENTE-005; 900,00 € ;PROFESOR-001; 360,00 € ;10/02/2020;MAÑANA;COMERCIAL-004; 72,00 € ;SI;FRANCIA;MARSELLA;SI
COD-081;INTERNET;40;CLIENTE-003; 1.000,00 € ;PROFESOR-004; 480,00 € ;27/02/2019;MAÑANA;COMERCIAL-001; 50,00 € ;NO;ITALIA;MILAN;SI
COD-082;WINDOWS;35;CLIENTE-004; 875,00 € ;PROFESOR-005; 420,00 € ;25/03/2021;TARDE;COMERCIAL-003; 43,75 € ;SI;ESPAÑA;VALLADOLID;SI
COD-083;WINDOWS;45;CLIENTE-003; 1.125,00 € ;PROFESOR-002; 540,00 € ;29/05/2019;TARDE;COMERCIAL-002; 56,25 € ;SI;ITALIA;MILAN;SI
COD-084;WINDOWS;18;CLIENTE-006; 450,00 € ;PROFESOR-001; 216,00 € ;01/01/2021;TARDE;COMERCIAL-004; 22,50 € ;SI;FRANCIA;PARIS;SI
COD-085;INTERNET;10;CLIENTE-001; 250,00 € ;PROFESOR-004; 120,00 € ;22/05/2021;TARDE;COMERCIAL-001; 12,50 € ;SI;ESPAÑA;VALLADOLID;NO
COD-086;PROGRAMACION;12;CLIENTE-002; 900,00 € ;PROFESOR-003; 144,00 € ;10/08/2019;NOCHE;COMERCIAL-003; 135,00 € ;SI;ITALIA;MILAN;NO
COD-087;DISEÑO;15;CLIENTE-004; 900,00 € ;PROFESOR-002; 180,00 € ;07/05/2021;NOCHE;COMERCIAL-002; 108,00 € ;SI;ESPAÑA;MADRID;SI
COD-088;DISEÑO;25;CLIENTE-003; 1.500,00 € ;PROFESOR-001; 300,00 € ;07/04/2019;NOCHE;COMERCIAL-004; 180,00 € ;SI;ITALIA;MILAN;SI
COD-089;WORD;15;CLIENTE-005; 375,00 € ;PROFESOR-004; 180,00 € ;04/12/2019;TARDE;COMERCIAL-001; 26,25 € ;SI;FRANCIA;PARIS;NO
COD-090;EXCEL;10;CLIENTE-003; 300,00 € ;PROFESOR-005; 120,00 € ;21/10/2019;TARDE;COMERCIAL-002; 24,00 € ;SI;ITALIA;MILAN;SI
COD-091;EXCEL;12;CLIENTE-004; 360,00 € ;PROFESOR-002; 144,00 € ;14/04/2019;TARDE;COMERCIAL-004; 28,80 € ;SI;ESPAÑA;MADRID;SI
COD-092;EXCEL;15;CLIENTE-003; 450,00 € ;PROFESOR-001; 180,00 € ;20/08/2020;TARDE;COMERCIAL-001; 36,00 € ;SI;ITALIA;MILAN;NO
COD-093;INTERNET;25;CLIENTE-006; 625,00 € ;PROFESOR-004; 300,00 € ;12/08/2021;NOCHE;COMERCIAL-003; 31,25 € ;SI;FRANCIA;PARIS;NO
COD-094;WINDOWS;15;CLIENTE-004; 375,00 € ;PROFESOR-005; 180,00 € ;05/02/2021;NOCHE;COMERCIAL-002; 18,75 € ;SI;ESPAÑA;VALENCIA;SI
COD-095;WINDOWS;20;CLIENTE-007; 500,00 € ;PROFESOR-002; 240,00 € ;27/01/2020;NOCHE;COMERCIAL-004; 25,00 € ;SI;ESPAÑA;VALENCIA;SI
COD-096;WINDOWS;20;CLIENTE-005; 500,00 € ;PROFESOR-001; 240,00 € ;18/07/2020;NOCHE;COMERCIAL-003; 25,00 € ;NO;FRANCIA;PARIS;NO
COD-097;INTERNET;30;CLIENTE-006; 750,00 € ;PROFESOR-004; 360,00 € ;30/07/2020;NOCHE;COMERCIAL-002; 37,50 € ;NO;FRANCIA;PARIS;SI
COD-098;PROGRAMACION;35;CLIENTE-008; 2.625,00 € ;PROFESOR-003; 420,00 € ;14/06/2020;TARDE;COMERCIAL-004; 393,75 € ;SI;ESPAÑA;VALENCIA;SI
COD-099;DISEÑO;40;CLIENTE-003; 2.400,00 € ;PROFESOR-002; 480,00 € ;24/07/2021;MAÑANA;COMERCIAL-001; 288,00 € ;NO;ITALIA;MILAN;NO
COD-100;DISEÑO;40;CLIENTE-005; 2.400,00 € ;PROFESOR-001; 480,00 € ;02/08/2020;TARDE;COMERCIAL-003; 288,00 € ;SI;FRANCIA;PARIS;SI
COD-101;DISEÑO;35;CLIENTE-006; 2.100,00 € ;PROFESOR-001; 420,00 € ;09/01/2021;MAÑANA;COMERCIAL-002; 252,00 € ;SI;FRANCIA;PARIS;SI
COD-102;ACCESS;15;CLIENTE-004; 600,00 € ;PROFESOR-004; 180,00 € ;15/11/2019;MAÑANA;COMERCIAL-004; 60,00 € ;SI;ESPAÑA;VALENCIA;SI
COD-103;ACCESS;20;CLIENTE-007; 800,00 € ;PROFESOR-005; 240,00 € ;15/12/2021;MAÑANA;COMERCIAL-001; 80,00 € ;SI;ESPAÑA;VALLADOLID;SI
COD-104;ACCESS;18;CLIENTE-007; 720,00 € ;PROFESOR-002; 216,00 € ;10/04/2020;MAÑANA;COMERCIAL-002; 72,00 € ;SI;ESPAÑA;VALLADOLID;SI
COD-105;ACCESS;25;CLIENTE-006; 1.000,00 € ;PROFESOR-001; 300,00 € ;31/10/2019;TARDE;COMERCIAL-004; 100,00 € ;NO;FRANCIA;MARSELLA;SI
COD-106;EXCEL;20;CLIENTE-005; 600,00 € ;PROFESOR-004; 240,00 € ;22/07/2021;TARDE;COMERCIAL-001; 48,00 € ;NO;FRANCIA;MARSELLA;SI
COD-107;INTERNET;10;CLIENTE-008; 300,00 € ;PROFESOR-003; 120,00 € ;01/01/2021;TARDE;COMERCIAL-003; 24,00 € ;SI;ESPAÑA;VALLADOLID;SI
COD-108;WINDOWS;12;CLIENTE-008; 360,00 € ;PROFESOR-002; 144,00 € ;12/04/2021;TARDE;COMERCIAL-002; 28,80 € ;SI;ESPAÑA;VALLADOLID;SI
COD-109;WINDOWS;15;CLIENTE-007; 375,00 € ;PROFESOR-001; 180,00 € ;17/05/2020;NOCHE;COMERCIAL-004; 26,25 € ;SI;ESPAÑA;VALLADOLID;SI
COD-110;WINDOWS;20;CLIENTE-005; 500,00 € ;PROFESOR-004; 240,00 € ;06/11/2021;NOCHE;COMERCIAL-003; 35,00 € ;NO;FRANCIA;MARSELLA;NO
COD-111;INTERNET;25;CLIENTE-003; 625,00 € ;PROFESOR-005; 300,00 € ;18/04/2019;NOCHE;COMERCIAL-002; 43,75 € ;SI;ITALIA;MILAN;SI
COD-112;PROGRAMACION;30;CLIENTE-005; 750,00 € ;PROFESOR-002; 360,00 € ;04/11/2020;TARDE;COMERCIAL-004; 52,50 € ;SI;FRANCIA;MARSELLA;SI
COD-113;DISEÑO;40;CLIENTE-004; 1.200,00 € ;PROFESOR-001; 480,00 € ;15/09/2021;TARDE;COMERCIAL-001; 96,00 € ;NO;ESPAÑA;VALENCIA;NO
COD-114;DISEÑO;35;CLIENTE-003; 1.400,00 € ;PROFESOR-004; 420,00 € ;22/05/2020;TARDE;COMERCIAL-002; 140,00 € ;NO;ITALIA;MILAN;SI
COD-115;DISEÑO;45;CLIENTE-005; 1.125,00 € ;PROFESOR-005; 540,00 € ;03/10/2019;TARDE;COMERCIAL-004; 78,75 € ;NO;FRANCIA;MARSELLA;SI
COD-116;ACCESS;18;CLIENTE-003; 450,00 € ;PROFESOR-002; 216,00 € ;26/01/2020;NOCHE;COMERCIAL-001; 31,50 € ;NO;ITALIA;MILAN;NO
COD-117;ACCESS;10;CLIENTE-004; 250,00 € ;PROFESOR-001; 120,00 € ;19/06/2021;NOCHE;COMERCIAL-003; 17,50 € ;NO;ESPAÑA;MADRID;NO
COD-118;ACCESS;12;CLIENTE-003; 360,00 € ;PROFESOR-003; 144,00 € ;16/11/2019;NOCHE;COMERCIAL-002; 28,80 € ;SI;ITALIA;MILAN;SI
COD-119;ACCESS;15;CLIENTE-006; 450,00 € ;PROFESOR-002; 180,00 € ;10/11/2019;NOCHE;COMERCIAL-004; 36,00 € ;NO;FRANCIA;MARSELLA;SI
COD-120;EXCEL;25;CLIENTE-004; 750,00 € ;PROFESOR-001; 300,00 € ;27/11/2019;NOCHE;COMERCIAL-003; 60,00 € ;SI;ESPAÑA;VALENCIA;NO
COD-121;EXCEL;15;CLIENTE-007; 375,00 € ;PROFESOR-004; 180,00 € ;01/12/2021;TARDE;COMERCIAL-002; 18,75 € ;SI;ESPAÑA;VALENCIA;SI
COD-122;EXCEL;20;CLIENTE-005; 500,00 € ;PROFESOR-005; 240,00 € ;13/05/2019;NOCHE;COMERCIAL-004; 25,00 € ;SI;FRANCIA;MARSELLA;SI
COD-123;WORD;20;CLIENTE-006; 500,00 € ;PROFESOR-002; 240,00 € ;13/10/2020;NOCHE;COMERCIAL-001; 25,00 € ;SI;FRANCIA;MARSELLA;NO
COD-124;WORD;30;CLIENTE-008; 750,00 € ;PROFESOR-001; 360,00 € ;30/01/2019;NOCHE;COMERCIAL-003; 37,50 € ;SI;ESPAÑA;MADRID;NO
COD-125;ACCESS;35;CLIENTE-003; 875,00 € ;PROFESOR-004; 420,00 € ;12/01/2019;TARDE;COMERCIAL-002; 43,75 € ;SI;ITALIA;MILAN;SI
COD-126;ACCESS;40;CLIENTE-005; 3.000,00 € ;PROFESOR-003; 480,00 € ;16/09/2021;TARDE;COMERCIAL-004; 450,00 € ;SI;FRANCIA;MARSELLA;SI
COD-127;EXCEL;40;CLIENTE-006; 2.400,00 € ;PROFESOR-002; 480,00 € ;28/06/2021;TARDE;COMERCIAL-001; 288,00 € ;SI;FRANCIA;MARSELLA;NO
COD-128;EXCEL;35;CLIENTE-004; 2.100,00 € ;PROFESOR-001; 420,00 € ;08/05/2021;TARDE;COMERCIAL-002; 252,00 € ;SI;ESPAÑA;VALLADOLID;SI
COD-129;EXCEL;45;CLIENTE-007; 2.700,00 € ;PROFESOR-004; 540,00 € ;11/03/2020;NOCHE;COMERCIAL-004; 324,00 € ;SI;ESPAÑA;MADRID;SI
COD-130;WORD;25;CLIENTE-007; 1.000,00 € ;PROFESOR-005; 300,00 € ;15/01/2019;NOCHE;COMERCIAL-001; 100,00 € ;SI;ESPAÑA;MADRID;NO
COD-131;WORD;20;CLIENTE-006; 500,00 € ;PROFESOR-002; 240,00 € ;02/09/2019;NOCHE;COMERCIAL-003; 35,00 € ;SI;FRANCIA;MARSELLA;NO
COD-132;WORD;10;CLIENTE-005; 250,00 € ;PROFESOR-001; 120,00 € ;01/06/2020;NOCHE;COMERCIAL-003; 17,50 € ;SI;FRANCIA;MARSELLA;NO
COD-133;INTERNET;12;CLIENTE-008; 300,00 € ;PROFESOR-003; 144,00 € ;25/11/2019;NOCHE;COMERCIAL-002; 21,00 € ;SI;ESPAÑA;MADRID;SI
COD-134;PROGRAMACION;15;CLIENTE-003; 450,00 € ;PROFESOR-002; 180,00 € ;02/05/2019;TARDE;COMERCIAL-004; 36,00 € ;NO;ITALIA;MILAN;SI
COD-135;DISEÑO;20;CLIENTE-005; 600,00 € ;PROFESOR-001; 240,00 € ;18/01/2019;MAÑANA;COMERCIAL-001; 48,00 € ;NO;FRANCIA;MARSELLA;NO
COD-136;DISEÑO;25;CLIENTE-003; 750,00 € ;PROFESOR-004; 300,00 € ;30/09/2021;TARDE;COMERCIAL-002; 60,00 € ;NO;ITALIA;MILAN;SI
COD-137;DISEÑO;30;CLIENTE-004; 750,00 € ;PROFESOR-005; 360,00 € ;02/11/2021;MAÑANA;COMERCIAL-004; 37,50 € ;NO;ESPAÑA;VALLADOLID;SI
COD-138;ACCESS;40;CLIENTE-003; 1.000,00 € ;PROFESOR-002; 480,00 € ;03/06/2020;MAÑANA;COMERCIAL-001; 50,00 € ;SI;ITALIA;MILAN;SI
COD-139;ACCESS;35;CLIENTE-006; 875,00 € ;PROFESOR-001; 420,00 € ;22/03/2020;MAÑANA;COMERCIAL-003; 43,75 € ;SI;FRANCIA;PARIS;SI
COD-140;ACCESS;45;CLIENTE-004; 1.125,00 € ;PROFESOR-004; 540,00 € ;13/04/2020;MAÑANA;COMERCIAL-002; 56,25 € ;SI;ESPAÑA;VALLADOLID;SI
